Name,Scholar ID,Affiliation
Dr. Md. Shabiul Islam,LFEfTUcAAAAJ,"Professor, Faculty of Engineering, Multimedia University, Cyberjaya, Malaysia."
Sakiru Adebola Solarin,NurawOAAAAAJ,Multimedia University
REDDIYOOR NARAYANASWAMY ANANTHARAMAN,y4uH-IcAAAAJ,"Professor of Management, Faculty of Business, Multimedia University, Melaka, Malaysia"
Yung Chong Lee,H1jrxcgAAAAJ,"Faculty of Engineering and Technology, Multimedia University"
"Chih-Ping Tso, CP Tso, C. Tso, Tso Chih Ping",6GaFpAYAAAAJ,Multimedia University
Saifullah A,jz2br5EAAAAJ,"Information Technology, MMU"
"Bright Akwasi Gyamfi (Ph.D, MBA, BBA, HND) CPA-Australia",ByM6kUwAAAAJ,"Faculty of Management, Multimedia University, Cyberjaya Malaysia"
Prof. Dr. Md Shabiul Islam,vWzjftoAAAAJ,"Professor of Faculty of Engineering (FOE), Multimedia University (MMU), 63100, Cyberjaya …"
Tan Booi Chen,Uqkh63kAAAAJ,Multimedia University
chikkannan eswaran,x8w-w-YAAAAJ,"Faculty of Computing and Informatics, Multimedia University, Malaysia"
"Prof. Dr. Ir. Sim Kok Swee, FASc",P_sWzJUAAAAJ,Multmedia University
Dr. Mai Neo,T_KJmKsAAAAJ,"Professor, Faculty of Creative Multimedia, Multimedia University, Cyberjaya, Selangor …"
Hishamuddin Ismail,qX51ZtEAAAAJ,"Faculty of Business, Multimedia University"
Robert Jeyakumar Nathan,RA9huzcAAAAJ,"Multimedia University, Malaysia."
Marthandan Govindan,EzddmTwAAAAJ,"Adjunct Professor. Faculty of Management, Multimedia University"
Dr Sreenivasan Jayashree,qCKkI0wAAAAJ,MMU
Michael Goh,LgHP2CsAAAAJ,"Associate Professor, FIST, Multimedia University"
Nor Azlina Ab Aziz,By0L9cMAAAAJ,Multimedia University
Sook Fern Yeo,jUEhIf8AAAAJ,"Assistant Professor, Faculty of Business, Multimedia University, Malaysia"
Siow-Hooi Tan,xsoIfRAAAAAJ,"Academics, Multimedia University"
Kah-Yoong Chan,LfGQdHsAAAAJ,"Multimedia University, Research Center Juelich, Jacobs University Bremen"
Chin Wei Chong,lacwVbUAAAAJ,Multimedia University
Zulfadzli Yusoff,FFu3VrMAAAAJ,"Professor, Multimedia University"
Dr Abdullah Sarwar,-bob_gwAAAAJ,"Multimedia University, Cyberjaya, Malaysia"
"Prof. Dr. Md Shohel Sayeed, Senior Member, IEEE",mg8Vl6EAAAAJ,"Professor, Faculty of Information Science & Technology, Multimedia University"
Assoc. Prof. Dr. Raja Majid Mehmood,MZwOnfkAAAAJ,"Associate Professor, Multimedia University Malaysia"
Yuen Yee Yen,V9Oliz4AAAAJ,"Faculty of Business, Multimedia University"
Thian Song Ong,j0Wjv1AAAAAJ,Multimedia University
Chinnasamy Agamudainambhi Malarvizhi,zrRPmm8AAAAJ,"Associate Professor, Multimedia university"
Gerald GOH Guan Gan,paaP6m0AAAAJ,"Faculty of Business, Multimedia University, Melaka, Malaysia"
Swee-Huay Heng,DMw-kwIAAAAJ,Multimedia University
